Year,Month,Ocean_Heat
1992,2,0.4499673843
1992,3,1.0232715607
1992,4,1.1495428085
1992,5,1.3036174774
1992,6,1.3661766052
1992,7,1.4731760025
1992,8,1.7157859802
1992,9,1.8519554138
1992,10,2.0654411316
1992,11,2.3388614655
1992,12,2.4854059219
1993,1,1.7254619598
1993,2,1.7006568909
1993,3,1.6497688293
1993,4,1.6771192551
1993,5,1.7297363281
1993,6,1.7498693466
1993,7,1.8960676193
1993,8,1.9166250229
1993,9,1.6441993713
1993,10,1.6884365082
1993,11,1.5592556
1993,12,1.5436992645
1994,1,0.7185001373
1994,2,0.7040719986
1994,3,0.597612381
1994,4,0.5617837906
1994,5,0.5283927917
1994,6,0.5838041306
1994,7,0.5838127136
1994,8,0.498301506
1994,9,0.4781341553
1994,10,0.2472839355
1994,11,0.276515007
1994,12,0.2953157425
1995,1,0.3797721863
1995,2,0.3443956375
1995,3,0.3205738068
1995,4,0.2436475754
1995,5,0.1931056976
1995,6,0.2317724228
1995,7,0.4316806793
1995,8,0.3366441727
1995,9,0.2336788177
1995,10,0.2427082062
1995,11,0.2695083618
1995,12,0.4872865677
1996,1,1.2606043816
1996,2,1.3561992645
1996,3,1.3319168091
1996,4,1.4516792297
1996,5,1.5406398773
1996,6,1.5398774147
1996,7,1.531106472
1996,8,1.4720420837
1996,9,1.503276825
1996,10,1.4415154457
1996,11,1.3915319443
1996,12,1.5120029449
1997,1,2.4571061134
1997,2,2.6004319191
1997,3,2.6540870667
1997,4,2.796216011
1997,5,2.8275308609
1997,6,2.926150322
1997,7,2.8701090813
1997,8,2.90350914
1997,9,3.0901575089
1997,10,3.1370019913
1997,11,3.2696409225
1997,12,3.3878064156
1998,1,3.9519844055
1998,2,3.7533535957
1998,3,3.6612796783
1998,4,3.3489265442
1998,5,3.4261279106
1998,6,3.5699415207
1998,7,3.6414136887
1998,8,3.6738910675
1998,9,3.5582437515
1998,10,3.4369921684
1998,11,3.519133091
1998,12,3.3665928841
1999,1,4.0813422203
1999,2,4.074326992
1999,3,4.2181406021
1999,4,4.2251467705
1999,5,4.2338647842
1999,6,4.2729930878
1999,7,4.2015028
1999,8,4.1295251846
1999,9,4.0673742294
1999,10,4.0939269066
1999,11,4.1684584618
1999,12,4.1282124519
2000,1,5.0235095024
2000,2,4.9369430542
2000,3,4.9377942085
2000,4,5.0241212845
2000,5,5.0999393463
2000,6,5.0892615318
2000,7,5.2126150131
2000,8,5.4000453949
2000,9,5.4635620117
2000,10,5.4525294304
2000,11,5.4973158836
2000,12,5.5257844925
2001,1,6.2788105011
2001,2,6.2388219833
2001,3,6.4808645248
2001,4,6.617228508
2001,5,6.7776708603
2001,6,7.0247859955
2001,7,7.1230063438
2001,8,7.1063690186
2001,9,7.3269138336
2001,10,7.3495464325
2001,11,7.3293085098
2001,12,7.3130431175
2002,1,7.9962024689
2002,2,7.900873661
2002,3,7.8996496201
2002,4,7.8204174042
2002,5,7.7076172829
2002,6,7.5597419739
2002,7,7.3879475594
2002,8,7.289683342
2002,9,7.2570466995
2002,10,7.5363197327
2002,11,7.5532054901
2002,12,7.6464681625
2003,1,8.327091217
2003,2,8.314081192
2003,3,8.3868741989
2003,4,8.3906526566
2003,5,8.4595527649
2003,6,8.5916061401
2003,7,8.5298013687
2003,8,8.5576667786
2003,9,8.5342531204
2003,10,8.5229902267
2003,11,8.5334196091
2003,12,8.5425186157
2004,1,9.2877054214
2004,2,9.4259586334
2004,3,9.3786172867
2004,4,9.5207462311
2004,5,9.4962596893
2004,6,9.3910427094
2004,7,9.4652814865
2004,8,9.4355010986
2004,9,9.4360685349
2004,10,9.4545507431
2004,11,9.5740461349
2004,12,9.6555490494
2005,1,10.2644605637
2005,2,10.2159404755
2005,3,10.2112569809
2005,4,10.0361022949
2005,5,10.0844802856
2005,6,10.0159263611
2005,7,9.9700307846
2005,8,9.9056625366
2005,9,9.6442861557
2005,10,9.5643091202
2005,11,9.4861936569
2005,12,9.5404872894
2006,1,10.3329439163
2006,2,10.3660507202
2006,3,10.5456047058
2006,4,10.6510705948
2006,5,10.7723140717
2006,6,10.6336612701
2006,7,10.4660177231
2006,8,10.4895019531
2006,9,10.457326889
2006,10,10.3432226181
2006,11,10.4615650177
2006,12,10.442533493
2007,1,10.8821954727
2007,2,10.94643116
2007,3,10.9094667435
2007,4,10.8841915131
2007,5,10.8511734009
2007,6,10.801987648
2007,7,10.726808548
2007,8,10.5616750717
2007,9,10.463552475
2007,10,10.3653583527
2007,11,10.3744049072
2007,12,10.212179184
2008,1,10.9105577469
2008,2,11.0303640366
2008,3,11.0976228714
2008,4,11.1525907516
2008,5,11.1723766327
2008,6,11.0777664185
2008,7,11.1169567108
2008,8,11.1671886444
2008,9,11.1864337921
2008,10,11.2270526886
2008,11,11.2026634216
2008,12,11.1511192322
2009,1,11.9507236481
2009,2,11.9423246384
2009,3,12.1696100235
2009,4,12.3094329834
2009,5,12.3935518265
2009,6,12.5968561172
2009,7,12.5606451035
2009,8,12.5218715668
2009,9,12.469865799
2009,10,12.5097923279
2009,11,12.3440551758
2009,12,12.2789068222
2010,1,12.8038845062
2010,2,12.6421480179
2010,3,12.5200977325
2010,4,12.4791431427
2010,5,12.4006996155
2010,6,12.4229955673
2010,7,12.3353643417
2010,8,12.2541637421
2010,9,12.2093057632
2010,10,12.2573032379
2010,11,12.1501340866
2010,12,12.1002044678
2011,1,12.878364563
2011,2,13.0292987823
2011,3,13.0539007187
2011,4,12.9832000732
2011,5,12.9898424149
2011,6,12.9339704514
2011,7,12.8355016708
2011,8,12.8368501663
2011,9,12.8526363373
2011,10,12.974650383
2011,11,13.0450325012
2011,12,12.8359985352
2012,1,13.7663440704
2012,2,14.0821475983
2012,3,14.1088237762
2012,4,13.974943161
2012,5,13.9988794327
2012,6,13.9483108521
2012,7,14.0589818954
2012,8,14.2012176514
2012,9,14.1900253296
2012,10,14.1838350296
2012,11,14.1765098572
2012,12,14.3073568344
2013,1,14.9070453644
2013,2,15.0429916382
2013,3,15.0740499496
2013,4,15.1834354401
2013,5,15.1882343292
2013,6,15.0597267151
2013,7,15.2351922989
2013,8,15.3974885941
2013,9,15.4116611481
2013,10,15.3879461288
2013,11,15.3656330109
2013,12,15.3911037445
2014,1,16.06457901
2014,2,16.0455722809
2014,3,15.9149913788
2014,4,15.9469003677
2014,5,15.9274864197
2014,6,15.9145030975
2014,7,15.923948288
2014,8,16.1003093719
2014,9,16.2583656311
2014,10,16.2814598083
2014,11,16.2639884949
2014,12,16.2301998138
2015,1,17.0325698853
2015,2,17.1403865814
2015,3,17.0593795776
2015,4,17.1145782471
2015,5,16.9240722656
2015,6,16.8767318726
2015,7,16.9546585083
2015,8,17.0514698029
2015,9,17.237197876
2015,10,17.2496833801
2015,11,17.2409744263
2015,12,17.1792850494
2016,1,17.8908061981
2016,2,17.6504402161
2016,3,17.411945343
2016,4,17.2955875397
2016,5,17.2893180847
2016,6,17.4527301788
2016,7,17.6505622864
2016,8,17.7872657776
2016,9,17.7520904541
2016,10,17.8023948669
2016,11,17.6737823486
2016,12,17.8256130219
2017,1,18.6692581177
2017,2,18.7291126251
2017,3,18.8779983521
2017,4,18.8923835754
2017,5,18.7609062195
2017,6,18.7214050293
2017,7,18.677816391
2017,8,18.5050735474
2017,9,18.3248634338
2017,10,18.1399688721
2017,11,18.2380218506
2017,12,18.2180671692